step,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,perf/mfu/actor_infer,actor/pg_loss,actor/kl_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,num_turns/min,num_turns/max,num_turns/mean,timing_s/start_profile,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/tool_calls/min,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/update_actor,perf/total_num_tokens,perf/time_per_step,perf/throughput,1,val-aux/num_turns/min,val-aux/num_turns/max,val-aux/num_turns/mean,timing_s/testing,timing_s/save_checkpoint
1,42574.0,50184.0,7610.0,45976.0,45977.0,45976.9375,0.2536911070346832,0.0,0.000609430338954553,0.0,0.0,0.0,0.0,0.41960108280181885,0.26480554003759615,156.73082160949707,162.8828125,67.34158134460449,1.0,1.0,0.0,0.7177734375,1.0,0.0,0.7177734375,1.0,0.0,-0.0008606386836618185,2.4748666286468506,-2.4748666286468506,-0.0008606386836618185,2.4748666286468506,-2.4748666286468506,252.58544921875,512.0,86.0,0.0185546875,252.58544921875,512.0,86.0,0.0185546875,0.0,106.609375,222.0,73.0,0.0,2.0,2.0,2.0,0.0004271360003258451,-1.0,2.379889974999969,16.202173055964522,8.689053521851104,0.0,0.0,0.0,16.202173055964522,0.0,110.0,512.0,312.5102138559996,9.419199977855897e-05,8.535225044000072,0.0439317159998609,15.572275866000382,336.927987004,4.268100019544363e-05,5.9719772548819854e-05,0.6041237859557885,0.02116859657355438,735631.0,336.927987004,136.45924136143122,,,,,,
2,40349.0,55132.0,14783.0,46948.0,46949.0,46948.5625,0.20674866437911987,0.0,0.010956721795082558,0.0,0.0,0.0,0.0,0.06475303322076797,0.312855747756899,172.8574481010437,178.77734375,67.551513671875,1.0,2.0,0.0,0.93212890625,1.0,0.0,0.93212890625,1.0,0.0,-0.011029896326363087,1.6201815605163574,-2.4748666286468506,-0.011029896326363087,1.6201815605163574,-2.4748666286468506,262.28564453125,512.0,85.0,0.01611328125,262.28564453125,512.0,85.0,0.01611328125,0.0,104.5,201.0,65.0,0.0,2.0,2.0,2.0,6.132199996500276e-05,-1.0,5.343561485002283,22.405106140009593,14.882226949043194,0.0,0.0,0.0,22.405106140009593,0.0,107.0,512.0,30.76678292900033,9.63830007094657e-05,6.99609150500055,0.043797338000331365,13.303822736000257,51.36848314399958,5.2303000302345026e-05,5.830495076437559e-05,0.05727665062988625,0.017710636422574515,751177.0,51.36848314399958,913.9565668776054,,,,,,
3,36254.0,42240.0,5986.0,40078.0,40079.0,40078.5,0.21779514849185944,0.0,0.004316645721701207,0.0,0.0,0.0,0.0,0.057892464101314545,0.3118415374173621,172.8574481010437,178.77734375,67.52310180664062,1.0,3.0,0.0,0.93212890625,1.0,0.0,0.93212890625,1.0,0.0,-0.0042447904124855995,2.4748666286468506,-2.4748666286468506,-0.0042447904124855995,2.4748666286468506,-2.4748666286468506,209.40234375,512.0,76.0,0.00341796875,209.40234375,512.0,76.0,0.00341796875,0.0,103.7109375,178.0,69.0,0.0,2.0,2.0,2.0,4.948900004819734e-05,-1.0,4.500705359969288,18.099548157013487,11.438193771520393,0.0,0.0,0.0,18.099548157013487,0.0,158.0,512.0,26.941712441000163,9.345699982077349e-05,6.597307529999853,0.04368406000048708,11.42841288299951,45.261340582999765,4.913700013275957e-05,6.812265304416189e-05,0.06282228170061784,0.017821919612447307,641256.0,45.261340582999765,885.490784933877,,,,,,
4,40214.0,47796.0,7582.0,44246.0,44249.0,44247.375,0.15627452731132507,0.0,0.007837266210117377,0.0,0.0,0.0,0.0,0.06178634986281395,0.3135620111596347,172.8574481010437,178.77734375,67.53782081604004,1.0,4.0,0.0,0.9189453125,1.0,0.0,0.9189453125,1.0,0.0,-0.007807186339050531,2.4748666286468506,-2.4748666286468506,-0.007807186339050531,2.4748666286468506,-2.4748666286468506,240.6943359375,512.0,59.0,0.0126953125,240.6943359375,512.0,59.0,0.0126953125,0.0,104.98828125,215.0,68.0,0.0,2.0,2.0,2.0,6.0874999689986e-05,-1.0,3.921836702967994,20.897877548995893,13.377817424758451,0.0,0.0,0.0,20.897877548995893,0.0,115.0,512.0,29.360614371000338,0.0001169339993793983,6.837872595999215,0.04562830899976689,12.510822831000041,49.007162980999965,4.773700038640527e-05,6.445058746389882e-05,0.05956200601896438,0.017671702037409056,707958.0,49.007162980999965,902.8756677295249,,,,,,
5,37080.0,47477.0,10397.0,43086.0,43088.0,43087.3125,0.11252139508724213,0.0,0.0015361011173808947,0.0,0.0,0.0,0.0,0.4361213445663452,0.31908034023247434,172.8574481010437,178.77734375,67.50039482116699,1.0,5.0,0.0,0.95703125,1.0,0.0,0.95703125,1.0,0.0,-0.0016381980385631323,1.6201815605163574,-2.4748666286468506,-0.0016381980385631323,1.6201815605163574,-2.4748666286468506,234.35791015625,512.0,98.0,0.001953125,234.35791015625,512.0,98.0,0.001953125,0.0,102.26171875,256.0,66.0,0.0,2.0,2.0,2.0,5.594200047198683e-05,-1.0,6.177297289999842,19.297876122999696,13.393997588828618,0.0,0.0,0.0,19.297876122999696,0.0,130.0,512.0,28.096884340000543,0.0001001919999907841,6.7779567090001365,0.04436913799963804,11.982018918999529,47.1528594170004,6.33449999440927e-05,6.435934301953453e-05,0.05853944420947474,0.017380433797941578,689397.0,47.1528594170004,913.7794193763228,,,,,,
6,38325.0,46654.0,8329.0,43693.0,43694.0,43693.6875,0.07402429729700089,0.0,0.005496549250892713,0.0,0.0,0.0,0.0,0.039807625114917755,0.3168086418227517,172.8574481010437,178.77734375,67.50104713439941,1.0,6.0,0.0,0.9677734375,1.0,0.0,0.9677734375,1.0,0.0,-0.005481855943799019,2.4748666286468506,-2.4748666286468506,-0.005481855943799019,2.4748666286468506,-2.4748666286468506,237.32958984375,512.0,93.0,0.0146484375,237.32958984375,512.0,93.0,0.0146484375,0.0,104.02734375,177.0,72.0,0.0,2.0,2.0,2.0,5.4848000218044035e-05,-1.0,5.794711805006955,22.65818979100004,13.206089886276043,0.0,0.0,0.0,22.65818979100004,0.0,108.0,512.0,31.671919802000048,9.720500020193867e-05,6.810198352000043,0.04386048399919673,12.232858938999925,51.017906645999574,4.042900036438368e-05,6.273858780973328e-05,0.06516172130496604,0.017498035241074475,699099.0,51.017906645999574,856.4382659441421,,,,,,
7,40734.0,47919.0,7185.0,43848.0,43850.0,43849.4375,0.08597289025783539,0.0,0.002279068601637846,0.0,0.0,0.0,0.0,0.06274522840976715,0.3144377584692276,172.8574481010437,178.77734375,67.5217137336731,1.0,7.0,0.0,0.96728515625,1.0,0.0,0.96728515625,1.0,0.0,-0.002418253570795059,2.4748666286468506,-2.4748666286468506,-0.002418253570795059,2.4748666286468506,-2.4748666286468506,236.38232421875,512.0,85.0,0.0029296875,236.38232421875,512.0,85.0,0.0029296875,0.0,106.19140625,211.0,63.0,0.0,2.0,2.0,2.0,5.099299960420467e-05,-1.0,5.391085995011963,19.31936407100875,13.345915702911256,0.0,0.0,0.0,19.31936407100875,0.0,104.0,512.0,27.891815527999825,9.47700000324403e-05,6.796907649999412,0.043562474000282236,12.368523951000498,47.35401425500004,4.812499992112862e-05,6.209098178323587e-05,0.05761450478919054,0.01762925116057717,701591.0,47.35401425500004,925.9919816696428,,,,,,
8,40374.0,46094.0,5720.0,43416.0,43418.0,43417.375,0.09087413549423218,0.0,0.002157375474780565,0.0,0.0,0.0,0.0,0.10549592971801758,0.3104933141587036,172.8574481010437,178.77734375,67.54965019226074,1.0,8.0,0.0,0.93896484375,1.0,0.0,0.93896484375,1.0,0.0,-0.0021697343327105045,2.4748666286468506,-2.4748666286468506,-0.0021697343327105045,2.4748666286468506,-2.4748666286468506,236.2333984375,512.0,86.0,0.0009765625,236.2333984375,512.0,86.0,0.0009765625,0.0,102.96484375,168.0,67.0,0.0,2.0,2.0,2.0,7.282800015673274e-05,-1.0,5.6233162770513445,18.539373765001073,13.293799566787074,0.0,0.0,0.0,18.539373765001073,0.0,108.0,512.0,26.835313946000497,0.00010068299980048323,6.775378864999766,0.043805578000501555,12.399175415000173,46.304211417999795,5.682399932993576e-05,6.30588243769078e-05,0.05546709620385133,0.017848809685926677,694678.0,46.304211417999795,937.6549922869954,,,,,,
9,38996.0,47322.0,8326.0,42975.0,42976.0,42975.1875,0.08996348083019257,0.0,0.0007580212568427669,0.0,0.0,0.0,0.0,0.029488086700439453,0.31503439470281,172.8574481010437,178.77734375,67.5076847076416,1.0,9.0,0.0,0.97265625,1.0,0.0,0.97265625,1.0,0.0,-0.0007137880311347544,2.4748666286468506,-2.4748666286468506,-0.0007137880311347544,2.4748666286468506,-2.4748666286468506,231.45458984375,475.0,108.0,0.0,231.45458984375,475.0,108.0,0.0,0.0,104.2890625,172.0,66.0,0.0,2.0,2.0,2.0,6.09480002822238e-05,-1.0,6.766375217994209,17.676891818002332,13.266904193411078,0.0,0.0,0.0,17.676891818002332,0.0,106.0,475.0,26.248754084999746,9.300800047640223e-05,6.723161750000145,0.045053167000332905,12.104550421000567,45.37806709199958,5.6448000577802304e-05,6.55220628768823e-05,0.05537489865385089,0.01760398139769688,687603.0,45.37806709199958,947.0475552180753,,,,,,
10,38043.0,44812.0,6769.0,42396.0,42397.0,42396.375,0.0992385596036911,0.0,4.937021276418818e-05,0.0,0.0,0.0,0.0,0.029531124979257584,0.3107728014437048,172.8574481010437,178.77734375,67.48776245117188,1.0,10.0,0.0,0.96826171875,1.0,0.0,0.96826171875,1.0,0.0,-2.0500914615695365e-05,2.4748666286468506,-2.4748666286468506,-2.0500914615695365e-05,2.4748666286468506,-2.4748666286468506,226.6943359375,483.0,93.0,0.0,226.6943359375,483.0,93.0,0.0,0.0,104.52734375,196.0,69.0,0.0,2.0,2.0,2.0,6.175999988045078e-05,-1.0,5.746070985000188,17.673328031999517,13.183526425987129,0.0,0.0,0.0,17.673328031999517,0.0,112.0,483.0,26.647979975000453,9.716000022308435e-05,6.702266952000173,0.04355138800019631,12.09801323099964,45.742814387999715,4.562300000543473e-05,6.42027001132118e-05,0.057397591864648705,0.01783468107680144,678342.0,45.742814387999715,926.8422935323886,0.9552691432903715,2.0,2.0,2.0,24.94537399300043,29.699727024999447
11,39212.0,45819.0,6607.0,42081.0,42083.0,42082.25,0.10784780234098434,0.0,0.002239158049633261,0.0,0.0,0.0,0.0,0.03173954039812088,0.31832817994592333,172.8574481010437,178.77734375,68.8931155204773,1.0,11.0,0.0,0.95849609375,1.0,0.0,0.95849609375,1.0,0.0,-0.0022251284681260586,2.4748666286468506,-2.4748666286468506,-0.0022251284681260586,2.4748666286468506,-2.4748666286468506,224.634765625,512.0,88.0,0.00244140625,224.634765625,512.0,88.0,0.00244140625,0.0,104.1328125,206.0,69.0,0.0,2.0,2.0,2.0,5.791500007035211e-05,-1.0,5.570552798977587,18.147223705018405,12.784358145613467,0.0,0.0,0.0,18.147223705018405,0.0,92.0,512.0,24.654562132999672,0.00010595599997031968,6.759200864000377,0.04391294800007017,11.75293148899982,43.458126126000025,4.936699951940682e-05,6.521892840816225e-05,0.0535908161099173,0.017455298090346613,673316.0,43.458126126000025,968.3401874712479,,,,,,
12,38189.0,46128.0,7939.0,41177.0,41178.0,41177.875,0.10720592737197876,0.0,0.0010811856773216277,0.0,0.0,0.0,0.0,0.03948689252138138,0.3236625446717034,172.8574481010437,178.77734375,68.50465774536133,1.0,12.0,0.0,0.97265625,1.0,0.0,0.97265625,1.0,0.0,-0.0010958650382235646,2.4748666286468506,-2.4748666286468506,-0.0010958650382235646,2.4748666286468506,-2.4748666286468506,220.6943359375,502.0,95.0,0.0,220.6943359375,502.0,95.0,0.0,0.0,101.0078125,201.0,64.0,0.0,2.0,2.0,2.0,7.061099950078642e-05,-1.0,5.978270727035124,16.94514338899171,12.259497793601644,0.0,0.0,0.0,16.94514338899171,0.0,117.0,502.0,25.568484377999994,8.866600001056213e-05,6.8738030639997305,0.04361205799978052,11.29280628000015,44.0333938370004,4.1076999877986964e-05,6.619461604044119e-05,0.056569696089667276,0.01714028206895109,658846.0,44.0333938370004,935.1510617698297,,,,,,
13,39141.0,47674.0,8533.0,43133.0,43134.0,43133.5,0.09767788648605347,0.0,0.0007107374112820253,0.0,0.0,0.0,0.0,0.03818484768271446,0.3198844349760274,172.8574481010437,178.77734375,68.31539368629456,1.0,13.0,0.0,0.97607421875,1.0,0.0,0.97607421875,1.0,0.0,-0.000793477229308337,2.4748666286468506,-2.4748666286468506,-0.000793477229308337,2.4748666286468506,-2.4748666286468506,232.91796875,512.0,97.0,0.00439453125,232.91796875,512.0,97.0,0.00439453125,0.0,104.0625,171.0,73.0,0.0,2.0,2.0,2.0,5.496099947777111e-05,-1.0,6.391575835994445,19.517268550000153,13.438914655998648,0.0,0.0,0.0,19.517268550000153,0.0,102.0,512.0,27.965331117999995,9.815100020205136e-05,7.027172181999958,0.04370769599972846,11.981543324000086,47.26993021100043,6.307700004981598e-05,6.333200412632939e-05,0.05862556207338956,0.01736113363742811,690136.0,47.26993021100043,912.4934140470168,,,,,,
14,37399.0,43529.0,6130.0,40550.0,40552.0,40551.0,0.10610327124595642,0.0,0.0016769804678915534,0.0,0.0,0.0,0.0,0.0394626259803772,0.3192989803037082,172.8574481010437,178.77734375,68.35007667541504,1.0,14.0,0.0,0.97509765625,1.0,0.0,0.97509765625,1.0,0.0,-0.0016514054732397199,2.4748666286468506,-2.4748666286468506,-0.0016514054732397199,2.4748666286468506,-2.4748666286468506,213.09375,498.0,94.0,0.0,213.09375,498.0,94.0,0.0,0.0,103.7109375,194.0,69.0,0.0,2.0,2.0,2.0,3.615100013121264e-05,-1.0,5.838511300000391,16.558040092990268,12.10270306055207,0.0,0.0,0.0,16.558040092990268,0.0,133.0,498.0,25.609737329999916,8.982200051832478e-05,6.569336503000159,0.04442155200013076,11.277491785000166,43.74880213100005,4.0504000025975984e-05,6.84655618852352e-05,0.05868193954850399,0.017381648703176503,648816.0,43.74880213100005,926.9053785421451,,,,,,
15,35705.0,45686.0,9981.0,40941.0,40942.0,40941.5625,0.10569892078638077,0.0,0.0013572873358498327,0.0,0.0,0.0,0.0,0.060054708272218704,0.3176976175556644,172.8574481010437,178.77734375,68.36371803283691,1.0,15.0,0.0,0.9404296875,1.0,0.0,0.9404296875,1.0,0.0,-0.0013779670698568225,2.4748666286468506,-2.4748666286468506,-0.0013779670698568225,2.4748666286468506,-2.4748666286468506,215.87548828125,512.0,74.0,0.00146484375,215.87548828125,512.0,74.0,0.00146484375,0.0,103.98046875,189.0,68.0,0.0,2.0,2.0,2.0,3.634899985627271e-05,-1.0,5.494268440990709,17.401072286011185,11.988837526827005,0.0,0.0,0.0,17.401072286011185,0.0,108.0,512.0,26.151257833000273,0.00011798600007750792,6.584294318999127,0.04420321799989324,11.434559536000052,44.46504402699975,5.332199998520082e-05,6.747913260499835e-05,0.05915061948642151,0.01745561056689039,655065.0,44.46504402699975,920.7583933828954,,,,,,
16,36135.0,44771.0,8636.0,39678.0,39679.0,39678.875,0.09680794179439545,0.0,0.0003956115833716467,0.0,0.0,0.0,0.0,0.06432519108057022,0.31351983855251087,172.8574481010437,178.77734375,68.31512832641602,1.0,16.0,0.0,0.96142578125,1.0,0.0,0.96142578125,1.0,0.0,-0.0003924496122635901,2.4748666286468506,-2.4748666286468506,-0.0003924496122635901,2.4748666286468506,-2.4748666286468506,206.8583984375,512.0,90.0,0.0009765625,206.8583984375,512.0,90.0,0.0009765625,0.0,103.1328125,195.0,65.0,0.0,2.0,2.0,2.0,3.532499977154657e-05,-1.0,5.624672562989872,17.26008852099767,11.679625762357245,0.0,0.0,0.0,17.26008852099767,0.0,128.0,512.0,26.142546381000102,9.159799992630724e-05,6.760536118000346,0.04390931699981593,11.236064968000392,44.43395964299998,4.093300049134996e-05,6.916356152961735e-05,0.06170846976249062,0.01769843677523681,634862.0,44.43395964299998,892.9853499169507,,,,,,
17,34357.0,42634.0,8277.0,37965.0,37966.0,37965.125,0.10078033804893494,0.0,-0.00010877030945266597,0.0,0.0,0.0,0.0,0.04659474268555641,0.31281245157786236,172.8574481010437,178.77734375,68.25443458557129,1.0,17.0,0.0,0.9521484375,1.0,0.0,0.9521484375,1.0,0.0,3.055106571991928e-05,2.4748666286468506,-2.4748666286468506,3.055106571991928e-05,2.4748666286468506,-2.4748666286468506,194.8603515625,512.0,85.0,0.00048828125,194.8603515625,512.0,85.0,0.00048828125,0.0,101.7421875,189.0,65.0,0.0,2.0,2.0,2.0,5.891499949939316e-05,-1.0,5.369259656000395,17.034811644,10.996974836400629,0.0,0.0,0.0,17.034811644,0.0,87.0,512.0,25.511287780999737,9.513599979982246e-05,6.555398622999746,0.04458805099966412,10.778139115999693,43.14554402600061,6.185399979585782e-05,7.340297674455194e-05,0.0639262086254673,0.01774348681190911,607442.0,43.14554402600061,879.9315400246488,,,,,,
